číst*/ přečíst* // čtu, čteš, čte // čteme, čtětě, čtou // \textbf{četl / přečetl}	lesen	12 12-16 vorgefertigt
pít*/ vypít* // piju, piješ,pije // pijeme,pijete, pijou // pil/ vypil	trinken // austrinken	12 12-17 vorgefertigt
psát*/ napsat // píšu, píšeš,píše // píšeme, píšete, píšou // psal/ napsal	schreiben	12 12-18 vorgefertigt
učit se/ naučit se	lernen	12 12-19 vorgefertigt
nádobí	Geschirr	12 12-20 vorgefertigt
klíč (m.)	Schlüssel	12 12-21 vorgefertigt
prádlo (s.)	Wäsche	12 12-22 vorgefertigt
nájem (m.)	Miete	12 12-23 vorgefertigt
předvánoční	vorweihnachtlich	12 12-24 vorgefertigt
Vánoce (w.)	Weihnachten	12 12-25 vorgefertigt
nejdřív	zuerst	12 12-26 vorgefertigt
obývák (m.)	Wohnzimmer	12 12-27 vorgefertigt
pořád	immer // ständig	12 12-28 vorgefertigt
plánovat/ naplánovat	planen	12 12-31 vorgefertigt
účet (m.)	Rechnung	12 12-32 vorgefertigt
